Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1900-01-01,Paris,Aquatics,Swimming,""LANE, Frederick C.V."",Men,200M Obstacle Event,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""LANE, Frederick C.V."",Men,200M Obstacle Event,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""WAHLE, Otto"",Men,200M Obstacle Event,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""WAHLE, Otto"",Men,200M Obstacle Event,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
1900-01-01,Paris,Aquatics,Swimming,HOUBEN,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,HOUBEN,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
"1900-01-01,Paris,Aquatics,Swimming,""LEUILLIEUX, Jean"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""LEUILLIEUX, Jean"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""MARTIN, Louis"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""MARTIN, Louis"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""MERCHEZ, Désiré"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""MERCHEZ, Désiré"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
1900-01-01,Paris,Aquatics,Swimming,TARTARA,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,TARTARA,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
"1900-01-01,Paris,Aquatics,Swimming,""FREY, Julius"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""FREY, Julius"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""HAINLE, Max"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HAINLE, Max"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""HOPPENBERG, Ernst"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HOPPENBERG, Ernst"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""SCHÖNE, Max"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""SCHÖNE, Max"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""VON PETERSDORFF, Herbert"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""VON PETERSDORFF, Herbert"",Men,200M Team Swimming,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
1900-01-01,Paris,Aquatics,Swimming,BERTRAND,Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,BERTRAND,Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1900-01-01,Paris,Aquatics,Swimming,CADET,Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,CADET,Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
"1900-01-01,Paris,Aquatics,Swimming,""HOCHEPIED, Maurice"",Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HOCHEPIED, Maurice"",Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""HOCHEPIED, Victor"",Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HOCHEPIED, Victor"",Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
1900-01-01,Paris,Aquatics,Swimming,VERBECKE,Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,VERBECKE,Men,200M Team Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
"1900-01-01,Paris,Aquatics,Swimming,""MARTIN, Louis"",Men,4000M Freestyle,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""MARTIN, Louis"",Men,4000M Freestyle,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""JARVIS, John Arthur"",Men,4000M Freestyle,Gold,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""JARVIS, John Arthur"",Men,4000M Freestyle,Gold,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""HALMAY, Zoltan"",Men,4000M Freestyle,Silver,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HALMAY, Zoltan"",Men,4000M Freestyle,Silver,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""LYKKEBERG, Peder"",Men,Underwater Swimming,Bronze,Denmark,DEN,5676002.0,51989.2934712354,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""LYKKEBERG, Peder"",Men,Underwater Swimming,Bronze,Denmark,DEN,5676002.0,51989.2934712354,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""DE VENDEVILLE, Charles"",Men,Underwater Swimming,Gold,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""DE VENDEVILLE, Charles"",Men,Underwater Swimming,Gold,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""SIX, André"",Men,Underwater Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""SIX, André"",Men,Underwater Swimming,Silver,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Archery,Archery,""PETIT, Charles Frédéric"",Men,""Au Chapelet, 33M"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""VAN INNIS, Hubert"",Men,""Au Chapelet, 33M"",Gold,Belgium,BEL,11285721.0,40324.0277657215,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""THIBAUD, Victor"",Men,""Au Chapelet, 33M"",Silver,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""MERCIER, Emile"",Men,""Au Chapelet, 50M"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""MOUGIN, Eugène"",Men,""Au Chapelet, 50M"",Gold,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""HELLE, Henri"",Men,""Au Chapelet, 50M"",Silver,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""PETIT, Charles Frédéric"",Men,""Au Cordon Doré, 33M"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""VAN INNIS, Hubert"",Men,""Au Cordon Doré, 33M"",Gold,Belgium,BEL,11285721.0,40324.0277657215,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""THIBAUD, Victor"",Men,""Au Cordon Doré, 33M"",Silver,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""FISSEUX, Emile"",Men,""Au Cordon Doré, 50M"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""HEROUIN, Henri"",Men,""Au Cordon Doré, 50M"",Gold,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""VAN INNIS, Hubert"",Men,""Au Cordon Doré, 50M"",Silver,Belgium,BEL,11285721.0,40324.0277657215,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""FOULON, Emmanuel"",Men,Sur La Perche À La Herse,Gold,Belgium,BEL,11285721.0,40324.0277657215,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""DRUART, Jr."",Men,Sur La Perche À La Herse,Silver,Belgium,BEL,11285721.0,40324.0277657215,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""SERRURIER, Auguste"",Men,Sur La Perche À La Herse,Silver,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""GLINEUX, Louis"",Men,Sur La Perche À La Pyramide,Bronze,Belgium,BEL,11285721.0,40324.0277657215,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""GRUMIAUX, Emile"",Men,Sur La Perche À La Pyramide,Gold,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Archery,Archery,""SERRURIER, Auguste"",Men,Sur La Perche À La Pyramide,Silver,France,FRA,66808385.0,36205.5681017036,summer,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,55.0,1.13,4.5,30.625"
"1900-01-01,Paris,Cycling,Cycling Track,""DAUMAIN, ....."",Men,25 Kilometres,Bronze,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1900-01-01,Paris,Cycling,Cycling Track,""BASTIEN, Louis"",Men,25 Kilometres,Gold,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1900-01-01,Paris,Cycling,Cycling Track,""HILDEBRAND, Louis"",Men,25 Kilometres,Silver,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1900-01-01,Paris,Cycling,Cycling Track,""LAKE, John Henry"",Men,Sprint Indivual,Bronze,United States,USA,321418820.0,56115.7184261955,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1900-01-01,Paris,Cycling,Cycling Track,""TAILLANDIER, Georges"",Men,Sprint Indivual,Gold,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1900-01-01,Paris,Cycling,Cycling Track,""SANZ, Fernand"",Men,Sprint Indivual,Silver,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1900-01-01,Paris,Fencing,Fencing,""SEE, Léon"",Men,Épée Individual,Bronze,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""PERREE, Louis"",Men,Épée Individual,Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""SEE, Léon"",Men,""Épée, Amateurs And Masters"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""AYAT, Albert"",Men,""Épée, Amateurs And Masters"",Gold,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""LAURENT, Henri"",Men,""Épée, Masters"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""AYAT, Albert"",Men,""Épée, Masters"",Gold,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""BOUGNOL, Emile"",Men,""Épée, Masters"",Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""BOULENGER, Marcel Jacques"",Men,Foil Individual,Bronze,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""COSTE, Emile"",Men,Foil Individual,Gold,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""MASSON, Henri"",Men,Foil Individual,Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""MIMIAGUE, Jean-Baptiste"",Men,""Foil, Masters"",Bronze,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""MERIGNAC, Lucien"",Men,""Foil, Masters"",Gold,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""KIRCHHOFFER, Alphonse"",Men,""Foil, Masters"",Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""FLESCH, Siegfried"",Men,Sabre Individual,Bronze,Austria,AUT,8611088.0,43774.985173612,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""DE LA FALAISE, Georges"",Men,Sabre Individual,Gold,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""THIEBAUT, Léon"",Men,Sabre Individual,Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""NERALIC, Milan"",Men,""Sabre, Masters"",Bronze,Austria,AUT,8611088.0,43774.985173612,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1900-01-01,Paris,Fencing,Fencing,""CONTE, Antonio"",Men,""Sabre, Masters"",Gold,Italy,ITA,60802085.0,29957.804315437203,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
